職員ID,ルール・希望 (自然言語)
EMP001,土・日・祝祭日休
EMP002,土・日・祝祭日休
EMP003,
EMP004,
EMP005,4/20、4/27休み希望
EMP006,4/26、4/27休み希望
EMP007,AHと同日の夜勤は避ける
EMP008,
EMP009,
EMP010,
EMP011,4/18、4/27休み希望
EMP012,4/24、4/25休み希望
EMP013,
EMP014,2025/4/23休み希望
EMP015,
EMP016,4/16、4/18休み希望
EMP017,17日勤務　土・日・祝祭日休み　
EMP018,4/16、4/17休み希望
EMP019,
EMP020,5/1夜勤希望、5/5休み希望
EMP021,4/21、5/3休み希望
EMP022,
EMP023,4/20、4/26夜勤希望
EMP024,
EMP025,4/12夜勤希望、4/15夜勤希望
EMP026,4/16夜勤希望、4/23夜勤希望
EMP027,4/13、5/5休み希望
EMP028,4/12、4/13休み希望
EMP029,4/16、4/17休み希望
EMP030,
EMP031,4/17夜勤希望、4/25夜勤希望
EMP032,
EMP033,
EMP034,5/4、5/6休み希望、Gと同日の夜勤は避ける
EMP035,4/20、4/21休み希望
EMP036,4/11.12.13.14.15.16休み希望
EMP037,日勤・早出のみ、4日以上の勤務は不可。
EMP038,17日勤務、4日以上の勤務は不可。
EMP039,17日勤務　土・日・祝祭日休　4/28、5/7休み希望。基本的に水曜日→早出　木曜日→夜勤
EMP040,17日勤務　土・祝祭日休、日曜日の勤務は2回まで
EMP041,17日勤務　土・日・祝祭日休、3日以上の連勤は不可。